"team","season","returning_ppa_pct","returning_passing_ppa_pct","returning_usage_pct","talent_percentile","preseason_poll_vote_share","retained_quality","replacement_capacity","portal_incoming_count","portal_outgoing_count","portal_rated_incoming_count","portal_incoming_value","portal_incoming_percentile","portal_offense_ppa","portal_offense_score","portal_offense_eligible_count","portal_offense_matched_count","portal_offense_match_rate","portal_replacement_capacity","portal_offense_replacement","roster_rebuild_score","roster_rebuild_flag","hype_gap","source","captured_at"
"California",2021,0.977,1.029,0.904,0.7,0,0.2671484375,0.0161,3,10,1,0.0390909090909091,0.411538461538462,0,-0.491494242760212,0,0,1,0.0395076923076923,-0.0471834473049804,0,FALSE,0.1265625,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Central Michigan",2021,0.772,0.855,0.768,0.0615384615384615,0,0.51265625,0.0140307692307692,3,18,1,0.0363636363636364,0.269230769230769,0,-0.491494242760212,2,0,0,0.0624615384615385,-0.114026664320369,0,FALSE,-0.2640625,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Charlotte",2021,0.856,1,0.815,0.330769230769231,0,0.3811875,0.0476307692307692,11,12,1,0.0363636363636364,0.269230769230769,0,-0.491494242760212,2,0,0,0.0498076923076923,-0.0909264349106393,0,FALSE,-0.0453125,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Cincinnati",2021,0.855,0.955,0.735,0.607692307692308,0.629493469912821,0.814921875,0.0881153846153846,3,10,1,0.0381818181818182,0.373076923076923,0,-0.491494242760212,0,0,1,0.0988653846153846,-0.130245974331456,0,FALSE,-0.0223557692307692,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Clemson",2021,0.261,0.206,0.351,0.976923076923077,0.932522233221271,0.256921875,0.721946153846154,0,8,0,0,0,0,-0.491494242760212,0,0,1,0,-0.318979763551378,0,FALSE,0.00793269230769234,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Coastal Carolina",2021,0.842,0.964,0.72,0.238461538461538,0.121203136482249,0.77621875,0.0376769230769231,4,11,0,0,0,0,-0.491494242760212,1,0,0,0,-0.137618387972859,0,FALSE,-0.0834134615384615,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Colorado",2021,0.758,0.189,0.547,0.646153846153846,0,0.3553125,0.156369230769231,6,13,3,0.111818181818182,0.673076923076923,0,-0.491494242760212,1,0,0,0.304903846153846,-0.222646891970376,0,FALSE,-0.06875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Colorado State",2021,0.546,-0.285,0.69,0.292307692307692,0,0.174890625,0.132707692307692,6,13,2,0.0768181818181818,0.588461538461538,16.268048951049,0.85543984651959,2,2,1,0.182423076923077,0.265186352421073,0.265186352421073,FALSE,0.0796875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Connecticut",2021,,,,0.1,0,,,2,7,0,0,0,-0.986405594405594,-1.30378267210349,1,1,1,,,,,,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Duke",2021,0.682,0.078,0.379,0.546153846153846,0,0.069265625,0.173676923076923,8,9,2,0.0727272727272727,0.442307692307692,0,-0.491494242760212,1,0,0,0.274673076923077,-0.305217924754092,0,FALSE,0.2984375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"East Carolina",2021,0.783,1,0.858,0.415384615384615,0,0.183515625,0.0901384615384615,11,14,0,0,0,1.78314685314685,0.125661346855074,5,1,0.2,0,0.0178439112534205,0.0178439112534205,FALSE,0.165625,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Eastern Michigan",2021,0.895,1,0.921,0.123076923076923,0,0.3566015625,0.0129230769230769,3,12,0,0,0,-0.667258741258741,-1.17884089055755,3,1,0.333333333333333,0,-0.0931284303540462,0,FALSE,0.00156250000000002,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Florida",2021,0.27,0.044,0.41,0.938461538461538,0.503494987462679,0.19828125,0.685076923076923,7,10,4,0.157727272727273,0.853846153846154,-1.48426573426573,-1.39991604214631,1,1,1,0.503769230769231,-0.825950464866322,0,FALSE,0.181009615384615,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Florida Atlantic",2021,0.92,1,0.906,0.461538461538462,0,0.4528125,0.0369230769230769,7,9,3,0.110454545454545,0.661538461538462,13.3261188811189,0.749018336107708,3,2,0.666666666666667,0.0621846153846154,0.0704077235941245,0.0704077235941245,FALSE,-0.0921875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Florida International",2021,1.6,0.684,0.699,0.430769230769231,0,0.2625,-0.258461538461539,0,0,0,0,0,0,-0.491494242760212,0,0,1,0,-0.147939767070824,0,FALSE,0.2359375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Florida State",2021,0.85,0.318,0.735,0.853846153846154,0,0.2125,0.128076923076923,12,17,9,0.35,0.992307692307692,15.8682097902098,0.827961493194142,2,2,1,0.262961538461538,0.219409795696448,0.219409795696448,FALSE,0.15,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Fresno State",2021,0.965,0.977,0.96,0.376923076923077,0,0.557890625,0.0131923076923077,8,13,2,0.0754545454545455,0.553846153846154,3.51210839160839,0.263315138690932,2,2,1,0.0221538461538462,0.0105326055476373,0.0105326055476373,FALSE,-0.178125,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Georgia",2021,0.97,1.135,0.923,0.992307692307692,0.868082355772986,0.788125,0.0297692307692308,3,13,3,0.128636363636364,0.738461538461539,16.5806643356643,0.883579819341104,1,1,1,0.0568615384615384,0.068035646089265,0.068035646089265,FALSE,0.156730769230769,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Georgia Southern",2021,0.482,0.137,0.48,0.169230769230769,0,0.357734375,0.0876615384615385,4,14,1,0.0363636363636364,0.269230769230769,-0.81908041958042,-1.25993639634548,2,2,1,0.14,-0.655166926099648,0,FALSE,-0.3421875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Georgia State",2021,1.002,1,0.981,0.223076923076923,0,0.42271875,-0.000446153846153847,3,7,1,0.0377272727272727,0.35,2.51145454545455,0.184213264679219,1,1,1,0.00665000000000001,0.00350005202890517,0.00350005202890517,FALSE,-0.021875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Georgia Tech",2021,0.829,0.846,0.901,0.761538461538461,0,0.1878203125,0.130223076923077,10,19,6,0.226818181818182,0.915384615384615,32.6260104895105,1.39991604214631,2,2,1,0.0906230769230769,0.138591688172484,0.138591688172484,FALSE,0.1734375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Hawai'i",2021,0.759,1.023,0.685,0.2,0,0.30834375,0.0482,6,10,0,0,0,0,-0.491494242760212,1,0,0,0,-0.154820686469467,0,FALSE,-0.00624999999999998,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Houston",2021,0.668,0.986,0.723,0.5,0,0.36009375,0.166,10,12,4,0.150454545454545,0.792307692307692,31.8667482517483,1.30378267210349,5,5,1,0.219469230769231,0.361147800172666,0.361147800172666,FALSE,-0.1390625,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Illinois",2021,0.868,1,0.896,0.615384615384615,0,0.15596875,0.0812307692307692,9,17,4,0.148181818181818,0.761538461538461,2.03667482517483,0.145120941210774,4,3,0.75,0.0792,0.0150925778859205,0.0150925778859205,FALSE,0.2203125,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Indiana",2021,0.878,1,0.678,0.715384615384615,0.354068332783381,0.624203125,0.0872769230769231,8,10,3,0.113636363636364,0.715384615384615,-15.1600559440559,-2.66528510602498,3,1,0.333333333333333,0.230353846153846,-0.858221804140042,0,FALSE,0.165985576923077,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Iowa",2021,0.624,0.935,0.765,0.684615384615385,0.336579845917679,0.49725,0.257415384615385,1,10,1,0.0381818181818182,0.373076923076923,0,-0.491494242760212,0,0,1,0.0876730769230769,-0.11550114704865,0,FALSE,0.0723557692307693,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
