"team","season","conference","division","classification","source"
"Washington State",2023,"Pac-12",,"fbs","cfbd_teams_fbs"
"Western Kentucky",2023,"Conference USA",,"fbs","cfbd_teams_fbs"
"Western Michigan",2023,"Mid-American","West","fbs","cfbd_teams_fbs"
"West Virginia",2023,"Big 12",,"fbs","cfbd_teams_fbs"
"Wisconsin",2023,"Big Ten","West","fbs","cfbd_teams_fbs"
"Wyoming",2023,"Mountain West","Mountain","fbs","cfbd_teams_fbs"
"Air Force",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"Akron",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"Alabama",2024,"SEC",,"fbs","cfbd_teams_fbs"
"App State",2024,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Arizona",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Arizona State",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Arkansas",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Arkansas State",2024,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Army",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"Auburn",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Ball State",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"Baylor",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Boise State",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"Boston College",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Bowling Green",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"Buffalo",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"BYU",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"California",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Central Michigan",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"Charlotte",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"Cincinnati",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Clemson",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Coastal Carolina",2024,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Colorado",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Colorado State",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"Duke",2024,"ACC",,"fbs","cfbd_teams_fbs"
"East Carolina",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"Eastern Michigan",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"Florida",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Florida Atlantic",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"Florida International",2024,"Conference USA",,"fbs","cfbd_teams_fbs"
"Florida State",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Fresno State",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"Georgia",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Georgia Southern",2024,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Georgia State",2024,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Georgia Tech",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Hawai'i",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"Houston",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Illinois",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Indiana",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Iowa",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Iowa State",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Jacksonville State",2024,"Conference USA",,"fbs","cfbd_teams_fbs"
"James Madison",2024,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Kansas",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Kansas State",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Kennesaw State",2024,"Conference USA",,"fbs","cfbd_teams_fbs"
"Kent State",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"Kentucky",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Liberty",2024,"Conference USA",,"fbs","cfbd_teams_fbs"
"Louisiana",2024,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Louisiana Tech",2024,"Conference USA",,"fbs","cfbd_teams_fbs"
"Louisville",2024,"ACC",,"fbs","cfbd_teams_fbs"
"LSU",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Marshall",2024,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Maryland",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Massachusetts",2024,"FBS Independents",,"fbs","cfbd_teams_fbs"
"Memphis",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"Miami",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Miami (OH)",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"Michigan",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Michigan State",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Middle Tennessee",2024,"Conference USA",,"fbs","cfbd_teams_fbs"
"Minnesota",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Mississippi State",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Missouri",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Navy",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"North Carolina State",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Nebraska",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Nevada",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"New Mexico",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"New Mexico State",2024,"Conference USA",,"fbs","cfbd_teams_fbs"
"North Carolina",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Northern Illinois",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"North Texas",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"Northwestern",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Notre Dame",2024,"FBS Independents",,"fbs","cfbd_teams_fbs"
"Ohio",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"Ohio State",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Oklahoma",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Oklahoma State",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Old Dominion",2024,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Mississippi",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Oregon",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Oregon State",2024,"Pac-12",,"fbs","cfbd_teams_fbs"
"Penn State",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Pittsburgh",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Purdue",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Rice",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"Rutgers",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Sam Houston",2024,"Conference USA",,"fbs","cfbd_teams_fbs"
"San Diego State",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"San José State",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"SMU",2024,"ACC",,"fbs","cfbd_teams_fbs"
"South Alabama",2024,"Sun Belt","West","fbs","cfbd_teams_fbs"
"South Carolina",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Southern Miss",2024,"Sun Belt","West","fbs","cfbd_teams_fbs"
"South Florida",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"Stanford",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Syracuse",2024,"ACC",,"fbs","cfbd_teams_fbs"
"TCU",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Temple",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"Tennessee",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Texas",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Texas A&M",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Texas State",2024,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Texas Tech",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Toledo",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"Troy",2024,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Tulane",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"Tulsa",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"UAB",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"UCF",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"UCLA",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Connecticut",2024,"FBS Independents",,"fbs","cfbd_teams_fbs"
"UL Monroe",2024,"Sun Belt","West","fbs","cfbd_teams_fbs"
"UNLV",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"Southern California",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Utah",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Utah State",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"UTEP",2024,"Conference USA",,"fbs","cfbd_teams_fbs"
"UTSA",2024,"American Athletic",,"fbs","cfbd_teams_fbs"
"Vanderbilt",2024,"SEC",,"fbs","cfbd_teams_fbs"
"Virginia",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Virginia Tech",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Wake Forest",2024,"ACC",,"fbs","cfbd_teams_fbs"
"Washington",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Washington State",2024,"Pac-12",,"fbs","cfbd_teams_fbs"
"Western Kentucky",2024,"Conference USA",,"fbs","cfbd_teams_fbs"
"Western Michigan",2024,"Mid-American",,"fbs","cfbd_teams_fbs"
"West Virginia",2024,"Big 12",,"fbs","cfbd_teams_fbs"
"Wisconsin",2024,"Big Ten",,"fbs","cfbd_teams_fbs"
"Wyoming",2024,"Mountain West",,"fbs","cfbd_teams_fbs"
"Air Force",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
"Akron",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"Alabama",2025,"SEC",,"fbs","cfbd_teams_fbs"
"App State",2025,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Arizona",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Arizona State",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Arkansas",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Arkansas State",2025,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Army",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"Auburn",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Ball State",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"Baylor",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Boise State",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
"Boston College",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Bowling Green",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"Buffalo",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"BYU",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"California",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Central Michigan",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"Charlotte",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"Cincinnati",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Clemson",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Coastal Carolina",2025,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Colorado",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Colorado State",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
"Delaware",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"Duke",2025,"ACC",,"fbs","cfbd_teams_fbs"
"East Carolina",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"Eastern Michigan",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"Florida",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Florida Atlantic",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"Florida International",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"Florida State",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Fresno State",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
"Georgia",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Georgia Southern",2025,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Georgia State",2025,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Georgia Tech",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Hawai'i",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
"Houston",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Illinois",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Indiana",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Iowa",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Iowa State",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Jacksonville State",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"James Madison",2025,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Kansas",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Kansas State",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Kennesaw State",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"Kent State",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"Kentucky",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Liberty",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"Louisiana",2025,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Louisiana Tech",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"Louisville",2025,"ACC",,"fbs","cfbd_teams_fbs"
"LSU",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Marshall",2025,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Maryland",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Massachusetts",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"Memphis",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"Miami",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Miami (OH)",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"Michigan",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Michigan State",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Middle Tennessee",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"Minnesota",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Mississippi State",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Missouri",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Missouri State",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"Navy",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"North Carolina State",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Nebraska",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Nevada",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
"New Mexico",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
"New Mexico State",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"North Carolina",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Northern Illinois",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"North Texas",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"Northwestern",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Notre Dame",2025,"FBS Independents",,"fbs","cfbd_teams_fbs"
"Ohio",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"Ohio State",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Oklahoma",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Oklahoma State",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Old Dominion",2025,"Sun Belt","East","fbs","cfbd_teams_fbs"
"Mississippi",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Oregon",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Oregon State",2025,"Pac-12",,"fbs","cfbd_teams_fbs"
"Penn State",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Pittsburgh",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Purdue",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Rice",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"Rutgers",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Sam Houston",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"San Diego State",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
"San José State",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
"SMU",2025,"ACC",,"fbs","cfbd_teams_fbs"
"South Alabama",2025,"Sun Belt","West","fbs","cfbd_teams_fbs"
"South Carolina",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Southern Miss",2025,"Sun Belt","West","fbs","cfbd_teams_fbs"
"South Florida",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"Stanford",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Syracuse",2025,"ACC",,"fbs","cfbd_teams_fbs"
"TCU",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Temple",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"Tennessee",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Texas",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Texas A&M",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Texas State",2025,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Texas Tech",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Toledo",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"Troy",2025,"Sun Belt","West","fbs","cfbd_teams_fbs"
"Tulane",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"Tulsa",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"UAB",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"UCF",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"UCLA",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Connecticut",2025,"FBS Independents",,"fbs","cfbd_teams_fbs"
"UL Monroe",2025,"Sun Belt","West","fbs","cfbd_teams_fbs"
"UNLV",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
"Southern California",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Utah",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Utah State",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
"UTEP",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"UTSA",2025,"American Athletic",,"fbs","cfbd_teams_fbs"
"Vanderbilt",2025,"SEC",,"fbs","cfbd_teams_fbs"
"Virginia",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Virginia Tech",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Wake Forest",2025,"ACC",,"fbs","cfbd_teams_fbs"
"Washington",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Washington State",2025,"Pac-12",,"fbs","cfbd_teams_fbs"
"Western Kentucky",2025,"Conference USA",,"fbs","cfbd_teams_fbs"
"Western Michigan",2025,"Mid-American",,"fbs","cfbd_teams_fbs"
"West Virginia",2025,"Big 12",,"fbs","cfbd_teams_fbs"
"Wisconsin",2025,"Big Ten",,"fbs","cfbd_teams_fbs"
"Wyoming",2025,"Mountain West",,"fbs","cfbd_teams_fbs"
