team,season,returning_ppa_pct,returning_passing_ppa_pct,returning_usage_pct,talent_percentile,preseason_poll_vote_share,retained_quality,replacement_capacity,portal_incoming_count,portal_outgoing_count,portal_rated_incoming_count,portal_incoming_value,portal_incoming_percentile,portal_offense_ppa,portal_offense_score,portal_offense_eligible_count,portal_offense_matched_count,portal_offense_match_rate,portal_replacement_capacity,portal_offense_replacement,roster_rebuild_score,roster_rebuild_flag,hype_gap,source,captured_at
Sam Houston,2026,0.577,-0.311,0.521,0.159420289855072,0,0.0210583941605839,0.0674347826086956,20,15,16,0.611363636363636,0.456521739130435,1.32529782608696,-1.29403835164186,4,1,0.25,0.218673913043478,-0.619844370436449,0,FALSE,0.372923939490109,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
San Diego State,2026,0.987,1,0.998,0.36231884057971,0,0.878934306569343,0.00471014492753624,26,26,15,0.575454545454545,0.41304347826087,23.1905673913043,-0.522317516182429,5,3,0.6,8.2608695652174e-4,-0.00104463503236486,0,FALSE,-0.481090659050037,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
San Jose State,2026,0.038,-0.076,0.137,0.210144927536232,0,0.0138686131386861,0.202159420289855,17,16,12,0.455454545454545,0.239130434782609,19.5518347826087,-0.629555406663227,5,3,0.6,0.206369565217391,-0.543306315950365,0,FALSE,0.0444567862054374,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
South Alabama,2026,0.786,0.951,0.759,0.231884057971014,0,0.30407299270073,0.0496231884057971,12,30,8,0.300454545454545,0.0869565217391304,15.3861086956522,-0.793414729335873,1,1,1,0.0209565217391304,-0.191212949769945,0,FALSE,0.0225589759864593,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
South Carolina,2026,0.69,0.654,0.676,0.898550724637681,0,0.161167883211679,0.278550724637681,26,24,24,0.870454545454545,0.920289855072464,40.3485739130435,-0.191892915468293,9,6,0.666666666666667,0.298173913043478,-0.0621733046117271,0,FALSE,0.175843647519306,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
South Florida,2026,0.126,0.058,0.161,0.630434782608696,0,0.114043795620438,0.551,44,34,30,0.857272727272727,0.818840579710145,45.7874717391304,-0.118341468086526,14,12,0.857142857142857,0.687007246376812,-0.099288491724595307,0,FALSE,-0.495689199196022,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Southern California,2026,0.592,0.909,0.657,0.942028985507246,0.491563412931577,0.570394160583942,0.384347826086957,9,22,8,0.319545454545455,0.101449275362319,40.5044369565217,-0.173423136191291,2,2,1,0.0347971014492754,-0.0594841357136127,0,FALSE,-0.0577065481857612,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Southern Miss,2026,0.902,0.974,0.921,0.326086956521739,0,0.526715328467153,0.0319565217391304,38,28,32,0.845,0.717391304347826,5.5933,-1.14159311213927,9,4,0.444444444444444,0.0566739130434782,-0.0901858558590024,0,FALSE,-0.174521315984344,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Stanford,2026,0.213,-0.012,0.298,0.644927536231884,0,0.013992700729927,0.507557971014493,6,12,6,0.232272727272727,0.0652173913043478,60.846,0.0454255501340686,3,1,0.333333333333333,0.0457826086956522,0.0318887361941161,0.0318887361941161,FALSE,0.343726859198138,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Syracuse,2026,0.35,0.834,0.29,0.753623188405797,0,0.0306569343065693,0.489855072463768,19,29,19,0.742272727272727,0.594202898550725,205.653963043478,1.17716304692063,10,9,0.9,0.421884057971014,0.83578576331365,0.83578576331365,TRUE,0.32182904897916,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
