feature,label,standardized_coefficient,mean_abs_points_all_games,mean_abs_points_non_transition,San Jose State at Eastern Michigan,UTEP at Oklahoma,Toledo at Michigan State,Miami at Stanford,Fresno State at Southern California,East Carolina at Alabama,Oregon State at Houston,Coastal Carolina at West Virginia,North Texas at Indiana,Ohio at Nebraska,Liberty at James Madison,Miami (OH) at Pittsburgh,Ball State at Ohio State,Kent State at South Carolina,Baylor at Auburn,Texas State at Texas,Boston College at Cincinnati,Tulane at Duke,Boise State at Oregon,Marshall at Penn State,Oklahoma State at Tulsa,Northern Illinois at Iowa,Wyoming at Colorado State,Missouri State at Texas A&M,Arkansas State at Memphis,Florida International at South Florida,Sam Houston at Troy,Clemson at LSU,UL Monroe at Mississippi State,Western Michigan at Michigan,Florida Atlantic at Florida,UNLV at Hawai'i,Central Michigan at New Mexico,UCLA at California,Western Kentucky at Nevada,Washington State at Washington,Louisville at Mississippi,Wisconsin at Notre Dame,SMU at Florida State
power_rating_diff,Opponent-adjusted power,9.086635470249574,10.9804738563081,10.9804738563081,0.17762757341972832,21.880959626826026,-13.013410969263184,-27.649822539215098,11.298972729622879,9.203133490769375,9.266192479699155,2.579199568695829,16.49934605284219,-0.7061612800117175,14.607952943088904,3.736922650993028,39.37165636527548,22.719780845369993,4.496912296851279,10.90502196264544,6.401070579075898,-2.55792769083703,12.158024744992797,13.629680815568886,0.3797417519332569,17.99140166086246,-3.342185357398327,16.891449873290416,13.946439212501161,12.267229528638897,10.965886406765284,-2.60530704184053,13.14079749582981,11.347747632635722,9.330681242295949,-8.900913308224876,5.723023772341816,3.4843347248023058,-10.320756905044133,5.233503072724889,6.153211183786383,24.13968692340645,-9.214406096629329
success_rate_diff,Success rate,7.512464504279432,2.5793189081962855,2.5793189081962855,-1.8404025071222936,0.669764660628144,-4.350096951495484,-7.202819671390184,4.534710425423783,-4.64575268522742,-0.4808204409180622,-3.609588535815065,-3.001047116766856,-1.339797289444232,-1.8136970948669773,-2.6681935503418126,6.990731113639319,-0.8213110768501607,-3.04093273231717,-5.1062162614836515,1.0027755015470905,-2.708959934141417,1.1904577740201405,-0.39390395280662116,0.5950109635210097,1.7871693618307458,-1.6986204108781537,0.9601789270717203,-1.210931064049065,0.8842834840798128,-2.356583937740714,-5.435787125902728,0.6253257418930102,-1.2477327204774247,-1.9083586445530094,-5.876756298621848,-1.694437809811111,-2.743614677356166,-6.5014696148565365,1.405707516404475,-0.8673258802687226,5.368678970391096,0.013484993701905848
ps_talent_percentile_diff,247 team talent percentile,0.8255745268297684,2.5076503137184125,2.5076503137184125,0.2141264228810035,3.703384193736493,2.36136197417669,-2.3164663121998124,3.4349797498245334,3.4349797498245325,0.7509353107049279,2.6337773604934256,4.150661878876549,6.021408921372849,-1.0831617226934673,0.8851375326609043,4.732267895399009,5.045406413296296,2.2658030000155054,3.479713823809858,-0.7725292505032747,-0.0794112077213563,3.0771071579419225,6.408879609020223,-2.834200778952548,3.569181971780512,2.2271597522207105,4.9112041913403175,0.974605680631562,1.6008827164261377,0.8404034586755853,0.5014703515863514,4.911204191340316,4.240193081560416,3.837586415692475,-2.7383224601505605,0.48253086679296264,-0.4938460359007596,-1.4857683885614155,2.450830122147341,1.4610804405219464,1.038063198746547,0.3483286448369863
trailing_3yr_diff,Three-year efficiency,-0.8325271894845798,1.592699702434701,1.592699702434701,1.1731585919583165,-2.9418029509033587,4.005941993946683,4.473659828069559,-1.4842202144529075,-1.8891386547703177,0.29604101993367754,0.7632383110264753,-0.6783804161746311,1.3382656860315696,-0.8961281800150351,0.6376608181840977,-6.361269799613055,-3.383569997999411,-0.5327018784983626,-1.5894024179180644,-0.47214278406607585,1.3139469660424112,-1.5782064073205528,-2.6487353127804627,0.9234614595435446,-0.3067155259083611,0.3071050747874286,-2.1898994131483023,-2.170484797452017,-0.9291380168107728,-1.183480878034406,0.3573510247937709,-0.684203435960198,-2.7087378887073337,-0.19031851882811587,2.3485818589114107,-0.2152789590994293,-0.19906328000509355,1.5178324875697926,-1.4483065795819154,-0.09381752837836299,-3.9287796143152787,1.9551198234127738
preseason_prior_diff,Prior/trailing efficiency blend,0.5464067874289618,1.4538893332639522,1.4538893332639522,-0.3780401963043373,2.3356911981141977,-4.44327273822425,-3.088740683198047,2.616114126584422,0.6306265739757673,0.7660565800644261,-0.49871813880848437,-0.04169238757259819,-0.8755638991518769,2.2568266524233316,0.7015990852905808,6.372967969988901,1.9595512506419719,0.12098981641703205,1.0547327250103518,0.5315574110337569,-0.6687238769430295,1.2632300944898018,0.6538194408670497,-0.2846324131184951,2.1378455737288826,-0.6322652053605342,2.6275939705897047,1.7666183432669107,1.7720793145388818,1.5862719801793672,-0.19791096133175873,1.1012485170493975,1.5659937914200301,0.35193360482977926,-1.6044434235150025,0.08582343465360895,0.5489672601804465,-1.8557138001361482,1.6940033290563221,0.013277893472973439,4.45592518431527,-1.1606211514464042
coach_rating_diff,Coach rating,1.9319198386319827,1.0564659280252575,1.0564659280252575,0.4114506618186632,2.1219774623128744,-0.5264397367420549,-1.7544507985369615,0.5971111697285807,-0.3116875016252616,0.1332229497747304,0.1390629649697303,2.839246025953037,-0.06299975281798552,-0.3223868176047223,-0.3338529621581819,3.5700479837217727,0.957958204882255,1.19238181435818,0.7600237867362903,0.25394990860082806,2.5699017718124266,0.7922910362025867,0.993933229870601,-1.5279866069093506,1.0527870802759793,1.1139029791749024,0.8196794669944676,0.6933897298810987,-0.33931729280119105,1.7306395318438315,0.3290950487129038,0.5166927356449244,0.9230535130436546,2.1168389988278453,-1.0262259293416236,0.7006070850991225,-1.625761185599073,-0.8902519516743896,0.6477414511576591,0.5076745585933529,2.355342992129588,-1.6408065150523574
ps_portal_offense_replacement_diff,Incoming transfer production,0.24586751364586618,1.0342607582521004,1.0342607582521004,-0.19415208574215387,-0.1262874124889284,-0.7043065977923684,-1.0422160455567924,0.5583612017267058,-0.7030240073986583,-0.5037180353510918,0.5281814026511573,0.3927438080984979,0.9313742508865591,0.47429587492974234,-0.16348730426683455,0.4117803033047074,0.8891751713098857,3.927624995324946,0.6872267747399534,2.791380386755247,2.5778990436726543,0.30954562065418323,3.6461773110992586,-7.282428503283839,-0.220087125653908,-0.6311259151919417,0.2265529190646125,0.6705033263217408,-0.38316458555885013,-0.5605100180619147,3.891299016101706,0.12662541414720474,-0.08333334938768425,0.3282826181665096,-0.3716763203607818,0.25109965020310476,0.19210405483878448,0.3646500364614021,0.001770737305825522,-1.5209140281021567,-1.2591992409124786,0.40788507895714254
offense_epa_diff,Offensive EPA,-1.3755768350333057,0.8654757626389229,0.8654757626389229,-0.5190529455597156,-0.43007637744661975,0.8078680189447894,1.3902703713546034,-2.844036222395581,0.030146711745077527,-0.5302651380833616,0.8600151316546232,1.0112978450265804,0.21929111318353714,-0.5521418309583291,-0.5104485919547873,-2.5593537231252217,-0.13243793514992486,0.4361067703418259,0.8965267466336505,-1.5314360178745934,-0.13555568324783485,-0.6551313832184545,-0.7283220813077987,-0.6175840255684822,-0.6708181382018774,-0.8164015644244297,-0.4940900044928688,-1.359708028509574,-1.343380736025922,-0.2724605248380869,0.9744988471203356,-0.9312067689381124,-0.849763310427102,0.3101858404553677,1.3826562031639962,-0.42408163403510457,0.05453819431859435,0.8471373937065353,-1.2906957118338847,-0.8227778329686288,-3.1212161672754077,-0.39057317740677333
prior_season_diff,Prior-season efficiency,-0.459556098124596,0.8618693537725002,0.8618693537725002,-0.005858114285091613,-1.0783022490095553,2.554978434993123,1.7336466166847497,-1.7284375509743626,0.03458638323082055,-0.7036864590847952,0.23228175146242697,0.2270969747997813,0.4821229355289895,-1.5988494016353332,-0.7480709449092913,-3.447897306924909,-0.6397388555438024,-0.2043090964438508,-0.4030831465644468,-0.9774475727326674,0.37603855047175755,-0.5792467234524089,-0.7190442657988184,-0.5435284346154604,-1.6689829037249908,0.45310586532678665,-1.5358239658799926,-0.8271728405368367,-1.1872774747539634,-0.9602885458215896,0.24749162732286387,-0.7009572930389935,-0.5065684885483239,-0.22084150015559417,0.674799140799219,0.007056822578617635,-0.39825799559620173,1.121199529614603,-0.9737984789590797,0.022504695248609378,-2.6691900400851525,0.41933581998964553
defense_epa_diff,Defensive EPA,-1.3583123136744262,0.7630442694155797,0.7630442694155797,0.5679399015984185,-1.0351836954807734,2.784500560316672,1.123274447122476,0.5764220112752307,0.049971242083704875,-0.4028520487228425,-0.5347891812898069,-0.6564540107232347,0.5088462567604897,-1.6403235566771048,-0.48608894226050225,-2.1425564243796744,-0.7292689120430655,-0.7666028929364176,-1.4732040110103926,-0.05944997173254744,0.7358640943681439,-0.096930644448282,-0.43567187287526404,-0.5248162309310107,-1.614837347629053,1.5254232883193488,-1.612354807693482,0.29155971696985095,-0.23255254918674617,-1.0340182218020735,-0.563715637448959,0.020704693521478145,0.20914372859715272,-0.6028172331093506,-0.46445667479611047,0.48670592293721726,-0.5911049656858222,0.7246589762463542,0.012870047756679595,0.913922722882851,-0.4947594679180156,1.032109595671009
pass_epa_diff,Passing EPA,-1.2067573315307512,0.6836338375091102,0.6836338375091102,-0.32640014400369494,-0.6609357901971963,0.7762745607223872,1.4865331276524045,-2.2390113003384005,0.006146352581566231,-0.6726128593893588,0.043520075298510305,0.5833875118609506,-0.44241008969924,-0.6713346554194546,-0.2426657771009107,-2.517046501102562,0.04803136861899453,0.6106000864131043,0.5743272881060058,-0.7273940418499273,0.023119723838688502,-0.5512450106390612,-0.28093077025262275,-0.3362400576437903,-0.28958645549761736,-0.5521924712426809,-0.20969981115877273,-0.4603909173139432,-1.3887233801960657,-0.8065953528310005,0.9388082115897428,-0.22229783895863248,-0.6737852767870499,0.6475295046118938,0.23258725079008535,0.40849174601764093,-0.8044301013527482,0.8813756177192912,-0.6743889033864123,-1.2133676018140755,-2.1604909378535866,-0.2768111910052283
havoc_generated_diff,Havoc generated,1.3030761728111222,0.5647469042393909,0.5647469042393909,-0.1635296598430703,0.5065483941131935,-1.7479741994026057,-1.1844513185184806,-0.2700241294958318,-1.315003795863289,-0.7515390383218168,0.008205891284463415,1.2674400146607092,-0.528760375372916,0.5669382939648246,0.39579415322520317,0.3165420999782424,-0.13384554673554655,1.3955130416497123,-0.7728461872473139,-0.43714011343779957,-0.09924166947898445,-0.742406610779618,-0.21791976329140866,-0.4247547655203683,0.30462934655168616,-0.4278799746110205,0.2935735253726788,-0.6816616925151336,0.2051156643114736,0.35802428369472694,-0.5724626882685815,-1.16833539463699,-0.6401429271006263,-0.39039657158586766,-0.2321389375260621,0.07597104975506203,-0.07754202173834127,-1.024255953625917,-0.8023050114398429,-0.8086483579199888,-0.1764279022529724,-0.5391989002438733
rush_epa_diff,Rushing EPA,-0.7368494082896094,0.43824081305078527,0.43824081305078527,-0.3352863609107739,0.16848813762828724,-0.030344648548711557,0.1219667103999362,-0.7793109537787749,0.2028016606800387,-0.14754202852689555,0.656346540650955,0.5699626994019763,0.25326282972282366,-0.10233272120110747,-0.057223997015347285,-0.47052526133966877,-0.2584203166673609,-0.11828788781948348,0.6893147557512318,-1.1809131956134982,-0.09993798937474195,-0.060679928364848576,-0.586380341158137,-0.461147458058045,-0.3032045109623206,-0.40587934966955386,-0.39982064904839687,-0.940754416329857,-0.2019846466875703,0.30073144612987457,-0.07538489172895205,-0.6022984919018377,-0.46370565584532086,-0.49725959572921724,1.3270436466130067,-0.27853053094592695,0.8730594181048523,0.1952444013331372,-0.9670840685626882,0.24041979174471464,-1.2304306708312958,-0.4380791041994583
ps_replacement_capacity_diff,Talent replacement capacity,-0.10961157410891735,0.348418587485667,0.348418587485667,0.1690160026188074,-0.058740055974931295,-0.47625538447384286,0.12784019273654504,-0.18531214014942632,-0.449555181258675,0.10838110827591399,-0.46907578288412133,-0.6146031962750641,-0.6710227262640952,0.027076248468568237,0.012229821100187678,-0.15284232048722315,-0.30785807452910546,-1.2867766348641585,-0.21200335642308726,0.02817086659384426,-0.03375375183344919,-0.09646723641830825,-1.92707896521222,1.1452374558908525,-0.48743513970765995,-0.2557967223832056,-0.19062342257963902,-0.30030005672232196,-0.3735795777645562,-0.15783007302321114,-0.5257235663787554,-0.6597777169736547,-0.34490224741800574,-0.2332305122609294,0.5630394660202949,-0.034987569573824435,0.05605781718013392,-0.0369916575297256,-0.4173639567831683,0.0752905465988612,0.10777066296362213,-0.20832769734701706
home_field_points,Home field,0.5359787611802169,0.3142513730341578,0.3142513730341578,0.09887722278468399,0.09887722278468399,0.09887722278468399,0.09863694746414862,0.09887722278468399,0.09887722278468399,0.09887722278468399,0.09879819640711869,0.09829799367703987,0.09863957793853247,0.09887722278468399,0.09887722278468399,0.09887722278468399,0.09887722278468399,-2.885840459864661,0.09887722278468399,0.0979564026272478,0.09849051652586922,0.09887722278468399,0.0979729689455269,0.09721810617561819,0.09887722278468399,0.09887722278468399,0.09887722278468399,0.09887722278468399,0.09887722278468399,0.09887722278468399,0.09809451382317955,0.09887722278468399,0.09887722278468399,0.09887722278468399,0.09887722278468399,0.09887722278468399,0.09880966135050095,0.09887722278468399,0.09887722278468399,-2.901887157484219,-2.9143532536467083,0.09887722278468399
havoc_allowed_diff,Havoc allowed,0.5256552146049243,0.25471124227942377,0.25471124227942377,0.049586632173707845,-0.3353873974305435,0.31801586205185356,0.4688058161643513,-0.6485062392778004,0.16890408842795082,0.03340953007716711,0.2146017086720979,-0.0338622828289982,-0.1321795542640271,-0.19209150995154553,0.13013611751765464,-0.9430309111322145,-0.19894988703813252,0.08039250685903644,-0.040743598047682926,-0.4895836737076673,0.0499629019201664,-0.224117541346534,-0.34262388940544275,0.143915845988029,-0.44680704158570994,-0.15886264390613408,-0.6990269561772102,0.08876516752390967,-0.5175185262368098,0.022618535551430143,0.12948452747465272,-0.4561680225418796,-0.445960033182472,-0.09918223873316694,-0.13355863287650582,-0.40679314123160143,-0.28300595872593576,-0.025341669122470368,-0.1421657790323267,-0.21447548205145822,-0.34194569110155415,-0.08325090755969512
ps_retained_quality_diff,Retained production quality,0.0903479327772251,0.2426790340585769,0.2426790340585769,0.16529481015684422,0.5255158836254016,-0.6178487957837082,-0.4152148972847245,0.38130902697463026,0.10239115826476208,0.3462574454932657,-0.01225754192721596,0.21903560143814896,-0.242657886260788,-0.009472057377556221,0.25205722290892296,0.6700115872599498,0.11920205272059602,-0.48097339100064146,0.09175436808716661,0.08026300150685832,-0.05661422475674776,0.31303282118429154,-0.787383794384468,0.4001398538058901,0.22879781954026296,-0.03736745483584016,0.48513507529334704,-0.03033403078086512,-0.01360979042016424,0.09576211998707554,-0.1756560243829208,0.11890598456222379,-0.1676374445193615,0.07905232197556401,0.19347183342431032,-0.07743053148573907,0.16278303211263115,-0.3918693580256088,0.21218911797307458,0.10237076881662126,0.5075776712447746,-0.09584452670153573
ps_returning_ppa_pct_diff,Returning production PPA,0.09863828442992609,0.23895963457596514,0.23895963457596514,0.49526144757790896,0.46625171167145063,-0.32934029556317074,-0.14579138760856195,0.15149607708637705,0.09275136187579884,0.1689019186302522,-0.0112015362252575,0.1730485763683657,-0.15102448278938896,-0.21982854251629025,0.1870330035717886,0.45392257391120583,0.03545713346054349,-0.7385106496318341,-0.028364285533664935,-0.11148512658253051,-0.04149823681112316,0.06519211276466337,-1.3777502694328976,0.8943367142156116,-0.06897791580270662,0.12031061098693432,0.30089621700463776,-0.17703918205426414,-0.1378760385805453,-0.16253431410103494,-0.2839560426232437,-0.034891476112618044,-0.22127902931161325,0.004996910758762153,0.35601471522690864,0.030380429676913262,0.01010464164008204,-0.34964711069769155,-0.2676946067619466,0.17650549920527636,0.1559528802567826,-0.12192068383199316
ps_portal_replacement_capacity_diff,Portal replacement capacity,-0.05905049201764507,0.22560035062612369,0.22560035062612369,0.107113648420688,0.147051977440368,-0.15653301711426212,0.09374452832063172,0.031059275487461388,-0.12726523401587062,0.05734203593153889,-0.02350146646945022,0.37652930397532924,-0.20178300056084267,-0.23086508658002292,0.019378554216694665,0.23045514852407709,-0.1500442331126597,-0.6628303006266174,-0.07833998465736602,0.16117664431403228,-0.2929587829155118,-0.036322150526372686,-1.0751991532540188,1.3254508822708004,-0.09276456059360635,-0.2041796210979775,0.16401109242912837,-0.20743993928672078,-0.34225512021762805,0.06948689182233601,-0.7224066617921996,-0.11192148951839281,-0.06642719607658397,-0.09965377446347018,0.09179038045056453,-0.015295032103227905,-0.08504154845560029,0.05024350644872049,-0.06189050768275683,0.36117090312804556,0.2827550193270171,-0.18473602079023083
source_games_diff,Eligible source games,1.0663728058611643,0.2012468293028784,0.2012468293028784,-0.20310061166502147,-0.20310061166502147,-0.20310061166502147,-0.20075631395214644,-0.20310061166502147,-0.20310061166502147,-0.20310061166502147,-0.20232957385818257,-0.1974492386099143,-0.2007819787398078,-0.20310061166502147,-0.20310061166502147,-0.20310061166502147,-0.20310061166502147,-0.1931368859818344,-0.20310061166502147,-0.19411643224852035,-0.1993276290878927,-0.20310061166502147,-0.19427806508690743,-0.18691308452590477,-0.20310061166502147,-0.20310061166502147,-0.20310061166502147,-0.20310061166502147,-0.20310061166502147,-0.20310061166502147,-0.19546394376166235,-0.20310061166502147,-0.20310061166502147,-0.20310061166502147,-0.20310061166502147,-0.20310061166502147,-0.20244143403795217,-0.20310061166502147,-0.20310061166502147,-0.1984457846168341,-0.20257007501413984,-0.20310061166502147
games_played_diff,Current-season games,-1.0786181140014843,0.17551493775431992,0.17551493775431992,0.17777119566331942,0.17777119566331942,0.17777119566331942,0.17491792638870568,0.17777119566331942,0.17777119566331942,0.17777119566331942,0.17683275748128455,0.17089285038790564,0.17494916327029772,0.17777119566331942,0.17777119566331942,0.17777119566331942,0.17777119566331942,0.1656442408843326,0.17777119566331942,0.1668364568944613,0.17317905909216183,0.17777119566331942,0.16703318191321875,0.15806918701298708,0.17777119566331942,0.17777119566331942,0.17777119566331942,0.17777119566331942,0.17777119566331942,0.17777119566331942,0.16847652725605416,0.17777119566331942,0.17777119566331942,0.17777119566331942,0.17777119566331942,0.17777119566331942,0.17696890367646978,0.17777119566331942,0.17777119566331942,0.17210575695974037,0.1771254739545521,0.17777119566331942
special_teams_rating_diff,Special teams,0.14245122155616946,0.07542535254536054,0.07542535254536054,0.04613764883887615,0.07980665390516896,0.1353161056142196,0.0040632844792354616,-0.0757993664476082,0.07017087740950675,0.11203467477424506,-0.10615086616085524,0.05864242949211726,0.2121648514851664,-0.003326006331053174,-0.12265107539079306,-0.08411707632676928,-0.18410237880281863,-0.143309369756563,0.10952662513432244,0.04463745284033262,0.014142159618300754,0.057527117463749514,0.0029217015506891124,-0.020132859984204294,0.06909912436128152,-0.013020016682600053,0.0626154202521924,-0.06527734087627561,-0.09832910363747607,0.02981049053066296,0.054729284297141786,0.15545517400565106,-0.04443423190964277,0.06466636949981085,0.013595083095360564,0.18972079274702153,-0.06753823896583529,0.018341447191988526,-0.03613303170091592,-0.010490049068309268,-0.17078206664079107,0.09087090199950844
ps_returning_usage_pct_diff,Returning usage,0.022822057675907254,0.06631894864686784,0.06631894864686784,0.09645963434353527,0.13890001564935714,-0.05572557134905834,-0.05326529873092414,0.035585552066497834,0.035371206706367404,0.020795722217499285,0.00845123660793056,0.03667113077342311,-0.12141909300098913,-0.0741592723202739,0.046731510793279335,0.11489333531475084,0.03429947990571535,-0.21677533515583036,-0.018643824046496817,-0.010807492833291493,0.010982071979174413,-0.013713880763497275,-0.32008166961468065,0.2560816149400935,-0.014785607564149345,0.0053628562881095085,0.10932035595136008,-0.07673141664183886,-0.021859004448453005,0.010078454210978598,-0.043176222203094576,-0.012856499322975634,-0.06194158679284034,0.030012572703107077,0.06580824784488612,0.03237037166454162,-0.02432242496520137,-0.07287320015949143,-0.08659130320783791,0.13842924916115476,-0.0015936139544058296,-0.058512061030753716
turnover_rate_regressed_diff,Regressed turnover rate,0.11208529545424983,0.047555345467754834,0.047555345467754834,-0.07240028577900111,-0.11540669974433418,0.04267493726806121,0.08341497435634615,-0.06108373641453005,-0.01704612006811935,0.08784534540685482,-0.06622087791198769,-0.016570853850813298,0.047214423264933685,0.03219713650685854,-0.06445792416543515,0.03556811520264896,0.017118391484076644,-0.05363186332926863,-0.007154596367176157,-0.05632712102681696,-0.010496211987398018,0.09531087127362628,-0.007030998290944533,-0.07029909566977482,-0.009366383643680401,-0.007692158575752793,-0.08243847793753005,0.04309290599628532,-0.00830536689765436,-0.0170313999071731,-0.061576483169352374,0.0751130830611809,-0.008919516005564645,-0.02088215277716966,0.09289178660097344,0.0405028752980516,0.049724359182057525,-0.0021071198277111407,-0.11892650693925473,-0.10672478086777161,0.03959620777357253,-0.010296329412696216
recent_3_diff,Last three games,1.1502450574188623,0.021632927498265047,0.021632927498265047,-0.02167282263206939,-0.02167282263206939,-0.02167282263206939,-0.02162237114820467,-0.02167282263206939,-0.02167282263206939,-0.02167282263206939,-0.021656229175847006,-0.021551199787437768,-0.021622923478488265,-0.02167282263206939,-0.02167282263206939,-0.02167282263206939,-0.02167282263206939,-0.021458393917330194,-0.02167282263206939,-0.02147947467102331,-0.0215916245109577,-0.02167282263206939,-0.021482953161188235,-0.02132445187703106,-0.02167282263206939,-0.02167282263206939,-0.02167282263206939,-0.02167282263206939,-0.02167282263206939,-0.02167282263206939,-0.02150847438167842,-0.02167282263206939,-0.02167282263206939,-0.02167282263206939,-0.02167282263206939,-0.02167282263206939,-0.021658636511751386,-0.02167282263206939,-0.02167282263206939,-0.02157264639147293,-0.021661404986121697,-0.02167282263206939
ps_returning_passing_ppa_pct_diff,Returning passing PPA,0.005525518095467641,0.00980005956268109,0.00980005956268109,0.012882398734204074,0.009097816856179877,-0.009983800806245351,-9.713235420772013e-4,0.0102698164055035,0.0015652780860478444,2.834035789751327e-4,0.006871731307552852,4.423649325013978e-6,-0.013797073839827933,-0.007908384937651438,0.007510734133137471,0.011539482583937423,-0.004551094561984811,-0.020943840372677703,-0.0016943456605084805,-0.0010982838468677396,8.254430876748625e-4,8.807032075452877e-5,-0.02450622060728285,0.025458198625444694,-0.014757257304011357,0.002480902733956925,0.011283107682522879,-6.078044116563721e-4,8.449866963593683e-4,0.01641060571081373,-8.95409263677369e-5,-0.00950767598933263,5.153618231120985e-4,1.7352862122604163e-4,0.010733732893777433,0.0079746506214114065,0.004555431530451996,-0.027417294102434233,-6.444293975727359e-4,0.015273449600966249,0.07687784663298504,-0.010203550721743532
recent_6_diff,Last six games,0.3270338862600209,0.003420894353717073,0.003420894353717073,-0.00348884683297242,-0.00348884683297242,-0.00348884683297242,-0.003402913961371281,-0.00348884683297242,-0.00348884683297242,-0.00348884683297242,-0.0034605835742187135,-0.003281689391983801,-0.0034038547330534187,-0.00348884683297242,-0.00348884683297242,-0.00348884683297242,-0.00348884683297242,-0.0031236152520601815,-0.00348884683297242,-0.0031595216231239775,-0.003350543909426025,-0.00348884683297242,-0.003165446456762368,-0.0028954748036665867,-0.00348884683297242,-0.00348884683297242,-0.00348884683297242,-0.00348884683297242,-0.00348884683297242,-0.00348884683297242,-0.0032089161745087833,-0.00348884683297242,-0.00348884683297242,-0.00348884683297242,-0.00348884683297242,-0.00348884683297242,-0.003464683935027252,-0.00348884683297242,-0.00348884683297242,-0.0033182189076621845,-0.003469399414818351,-0.00348884683297242
